desc,name,portion_weight,price,url
,Sangria white,360 g,40.00 mdl,https://www.andys.md/en/pages/menu/64/
,Sangria red,360 g,40.00 mdl,https://www.andys.md/en/pages/menu/64/
,Sangria rose,360 g,40.00 mdl,https://www.andys.md/en/pages/menu/64/
Espresso with milk cream,Grande Cappucino,,37.00 mdl,https://www.andys.md/en/pages/menu/38/
Espresso and hot water,Grande Americano,,30.00 mdl,https://www.andys.md/en/pages/menu/38/
"chocolate ice cream, milk",Сhocolate Milkshake,300 g,37.00 mdl,https://www.andys.md/en/pages/menu/49/
"Ice cream, mango, banana.",Banana-Mango milkshake,300 g,37.00 mdl,https://www.andys.md/en/pages/menu/49/
,Vanilla milkshake,300 g,37.00 mdl,https://www.andys.md/en/pages/menu/49/
"Strawberry ice cream, strawberry sauce, milk",Strawberry Milkshake,300 g,37.00 mdl,https://www.andys.md/en/pages/menu/49/
,"Pepsi 0,5 L",,20.00 mdl,https://www.andys.md/en/pages/menu/19/
,Pepsi 2 L,,32.00 mdl,https://www.andys.md/en/pages/menu/19/
,"7Up  0,5 L",500 ml g,20.00 mdl,https://www.andys.md/en/pages/menu/19/
,"Mirinda 0,5 L",500 ml g,20.00 mdl,https://www.andys.md/en/pages/menu/19/
,Lipton Ice Tea GREEN 0.5 L,,20.00 mdl,https://www.andys.md/en/pages/menu/19/
,"Lipton Ice Tea Piersic   1,5 L",,35.00 mdl,https://www.andys.md/en/pages/menu/19/
,"Lipton Ice Tea LEMON 1,5 L",,35.00 mdl,https://www.andys.md/en/pages/menu/19/
,"OM sparkling 1,5 L",,18.00 mdl,https://www.andys.md/en/pages/menu/19/
,Jana 0.5L,,15.00 mdl,https://www.andys.md/en/pages/menu/19/
,Jana 1.5L,,25.00 mdl,https://www.andys.md/en/pages/menu/19/
200g,Orange fresh,200 g,30.00 mdl,https://www.andys.md/en/pages/menu/30/
,"Sandora Apple juice 0,95L",,55.00 mdl,https://www.andys.md/en/pages/menu/30/
,"Sandora Orange 0,95L",,55.00 mdl,https://www.andys.md/en/pages/menu/30/
,"Sandora  Mango 0,95L",1000 g,55.00 mdl,https://www.andys.md/en/pages/menu/30/
,"Sandora Tomato 0,95L",,55.00 mdl,https://www.andys.md/en/pages/menu/30/
,"Sandora  Multifruсt 0,95L",,55.00 mdl,https://www.andys.md/en/pages/menu/30/
,Lemonade,420 g,32.00 mdl,https://www.andys.md/en/pages/menu/58/
,Orangeade,420 g,32.00 mdl,https://www.andys.md/en/pages/menu/58/
,"Souse ""Сhili""",30 g,8.00 mdl,https://www.andys.md/en/pages/menu/47/
,Mayonnaise,50 g,8.00 mdl,https://www.andys.md/en/pages/menu/47/
,"Sauce ""Caesar""",50 g,8.00 mdl,https://www.andys.md/en/pages/menu/47/
,Sour cream,50  g,8.00 mdl,https://www.andys.md/en/pages/menu/47/
,Ketchup,50 g,8.00 mdl,https://www.andys.md/en/pages/menu/47/
,Mustard,30 g,8.00 mdl,https://www.andys.md/en/pages/menu/47/
,Piquant sauce,50 g,8.00 mdl,https://www.andys.md/en/pages/menu/47/
,White bread,100 g,6.00 mdl,https://www.andys.md/en/pages/menu/46/
,"Bread  ""Focaccia""",180 g,25.00 mdl,https://www.andys.md/en/pages/menu/46/
,Rye bread,100 g,6.00 mdl,https://www.andys.md/en/pages/menu/46/
,Ciabatta,100 g,8.00 mdl,https://www.andys.md/en/pages/menu/46/
"Sour-tart cherry ice cream with crispy pastry, amaretto cherry, chocolate chips and cherry sauce.",Cherry mania,200g g,45.00 mdl,https://www.andys.md/en/pages/menu/28/
An amazing combination of exotic fruits and the most delicate mango ice cream.,Tropic,260 g,45.00 mdl,https://www.andys.md/en/pages/menu/28/
"Mix fruit with kiwi, bananas, oranges, peaches, pineapple with whipped cream and syrup ""grenadine"".",Fruit Salad,290 g,37.00 mdl,https://www.andys.md/en/pages/menu/28/
,Mr Nico,200 g,45.00 mdl,https://www.andys.md/en/pages/menu/28/
"Frozen yogurt, strawberry sauce, meringue, mint. Decorated with white chocolate.",Greek yogurt,225 g,45.00 mdl,https://www.andys.md/en/pages/menu/28/
The discount does not apply to this product.,Gelato with chocolate chip cookies,650 g g,73.00 mdl,https://www.andys.md/en/pages/menu/28/
The discount does not apply to this product.,Gelato with chocolate chip cookies,125 g g,22.00 mdl,https://www.andys.md/en/pages/menu/28/
The discount does not apply to this product.,Gelato yoghurt ice cream with strawberries,650 g g,73.00 mdl,https://www.andys.md/en/pages/menu/28/
The discount does not apply to this product.,Gelato yoghurt ice cream with strawberries,125 g g,22.00 mdl,https://www.andys.md/en/pages/menu/28/
The discount does not apply to this product.,Gelato  Cherry,650 g g,73.00 mdl,https://www.andys.md/en/pages/menu/28/
The discount does not apply to this product.,Gelato  Cherry,125 g g,22.00 mdl,https://www.andys.md/en/pages/menu/28/
The discount does not apply to this product.,Chocolate plombir 13%,700 g,55.00 mdl,https://www.andys.md/en/pages/menu/28/
The discount does not apply to this product.,Plombir Vanilie 13%,700 g,52.00 mdl,https://www.andys.md/en/pages/menu/28/
ice cream with strawberry flavor.,"Ice Cream ""Strawberry""",700 g,80.00 mdl,https://www.andys.md/en/pages/menu/28/
